iter	Passed	Remaining
426	7060	9474
427	7078	9460
428	7093	9441
429	7107	9421
430	7124	9405
431	7141	9389
432	7156	9371
433	7172	9353
434	7187	9336
435	7208	9324
436	7220	9302
437	7237	9286
438	7252	9268
439	7267	9250
440	7285	9235
441	7303	9220
442	7319	9203
443	7337	9188
444	7355	9173
445	7371	9156
446	7385	9137
447	7403	9122
448	7419	9105
449	7437	9089
450	7455	9075
451	7473	9060
452	7492	9046
453	7508	9030
454	7527	9016
455	7545	9001
456	7563	8986
457	7584	8975
458	7598	8956
459	7616	8941
460	7629	8920
461	7652	8910
462	7666	8891
463	7683	8875
464	7701	8861
465	7712	8837
466	7723	8814
467	7734	8791
468	7747	8771
469	7765	8757
470	7780	8739
471	7797	8722
472	7813	8705
473	7827	8685
474	7846	8672
475	7863	8656
476	7877	8637
477	7893	8619
478	7910	8603
479	7926	8586
480	7942	8569
481	7958	8552
482	7973	8534
483	7988	8516
484	8002	8497
485	8014	8476
486	8030	8458
487	8044	8440
488	8059	8422
489	8077	8407
490	8091	8387
491	8104	8368
492	8119	8349
493	8135	8333
494	8147	8312
495	8162	8293
496	8176	8275
497	8193	8259
498	8209	8241
499	8225	8225
500	8242	8209
501	8258	8192
502	8272	8174
503	8288	8157
504	8303	8139
505	8319	8121
506	8335	8105
507	8355	8091
508	8374	8078
509	8393	8064
510	8409	8047
511	8425	8030
512	8439	8012
513513	8488	80514514	8506	80515515	8522	79516516	8539	79517517	8556	79518518	8569	79519519	8586	79520	8572	7881
521	8588	7864
522	8605	7848
523	8620	7830
524	8636	7814
525	8652	7796
526	8668	7780
527	8684	7763
528	8700	7746
529	8716	7729
530	8734	7715
531	8750	7697
532532	8796	77533533	8811	76534534	8828	76535535	8841	76536536	8858	76537537	8875	76538538	8890	76539539	8908	75540540	8922	75541541	8937	75542	8921	7508
543	8937	7491
544544	8984	75545	8969	7458
546546	9019	74547	9005	7427
548	9021	7410
549549	9071	74550550	9085	74551551	9095	73552	9076	7336
553	9093	7320
554	9110	7304
555	9127	7288
556556	9183	73557	9165	7260
558	9182	7244
559	9199	7228
560560	9254	72561561	9271	72562	9251	7181
563	9268	7165
564	9284	7148
565	9303	7133
566	9317	7115
567	9335	7099
568	9353	7084
569	9368	7067
570	9385	7051
571	9400	7033
572	9416	7016
573	9431	6999
574	9448	6983
575	9466	6968
576	9483	6952
577	9499	6935
578	9514	6917
579	9533	6903
580	9549	6886
581	9568	6871
582	9582	6854
583	9599	6837
584	9615	6821
585	9632	6805
586	9648	6788
587	9666	6773
588	9681	6755
589	9696	6738
590	9716	6724
591	9732	6707
592	9750	6692
593	9765	6674
594	9781	6657
595	9796	6640
596	9813	6624
597	9829	6607
598	9843	6589
599	9859	6573
600	9875	6556
601	9893	6540
602	9910	6524
603	9928	6509
604	9945	6493
605	9961	6476
606	9980	6461
607	9998	6446
608	10014	6429
609	10029	6412
610	10050	6398
611	10066	6381
612	10084	6366
613	10101	6350
614	10118	6334
615	10134	6317
616	10151	6301
617	10168	6285
618	10185	6269
619	10203	6253
620	10219	6236
621	10235	6220
622	10254	6205
623	10270	6188
624	10286	6171
625	10302	6155
626	10316	6137
627	10336	6122
628	10352	6106
629	10368	6089
630	10385	6073
631	10399	6055
632	10412	6036
633	10427	6019
634	10447	6005
635	10463	5988
636	10480	5972
637	10495	5955
638	10515	5940
639	10531	5923
640	10546	5906
641	10565	5891
642	10580	5874
643	10597	5858
644	10615	5842
645	10634	5827
646	10652	5811
647	10667	5794
648	10685	5779
649	10700	5761
650	10718	5746
651	10733	5728
652	10750	5712
653	10765	5695
654	10781	5678
655	10799	5663
656	10816	5646
657	10833	5630
658	10849	5614
659	10866	5597
660	10884	5582
661	10898	5564
662	10916	5548
663	10933	5532
664	10948	5515
665	10965	5499
666	10983	5483
667	10999	5467
668	11016	5450
669	11035	5435
670	11050	5418
671	11067	5402
672	11085	5386
673	11102	5370
674	11118	5353
675	11132	5335
676	11150	5320
677	11168	5304
678	11184	5287
679	11201	5271
680	11218	5255
681	11237	5239
682	11254	5223
683	11272	5207
684	11286	5190
685	11303	5173
686	11319	5157
687	11338	5141
688	11356	5125
689	11374	5110
690	11387	5092
691	11401	5074
692	11417	5058
693	11433	5041
694	11450	5025
695	11466	5008
696	11482	4991
697	11499	4975
698	11518	4959
699	11536	4944
700	11551	4927
701	11567	4910
702	11584	4894
703	11600	4877
704	11616	4860
705	11633	4844
706	11649	4828
707	11664	4810
708	11682	4794
709	11698	4778
710	11713	4761
711	11730	4745
712	11744	4727
713	11758	4709
714	11777	4694
715	11795	4678
716	11812	4662
717	11829	4645
718	11846	4629
719	11865	4614
720	11881	4597
721	11895	4580
722	11910	4563
723	11924	4545
724	11945	4530
725	11959	4513
726	11977	4497
727	11995	4481
728	12010	4464
729	12027	4448
730	12059	4437
731	12078	4422
732	12095	4405
733	12124	4393
734	12141	4377
735	12160	4361
736	12173	4344
737	12187	4326
738	12200	4308
739	12214	4291
740	12229	4274
741	12244	4257
742	12257	4239
743	12273	4222
744	12287	4205
745	12300	4187
746	12313	4170
747	12326	4152
748	12339	4134
749	12351	4117
750	12363	4099
751	12376	4081
752	12389	4064
753	12400	4045
754	12412	4028
755	12425	4010
756	12436	3992
757	12449	3974
758	12461	3956
759	12472	3938
760	12485	3921
761	12497	3903
762	12508	3885
763	12521	3867
764	12532	3849
765	12544	3832
766	12556	3814
767	12567	3796
768	12580	3778
769	12593	3761
770	12604	3743
771	12617	3726
772	12630	3709
773	12642	3691
774	12655	3674
775	12667	3656
776	12679	3638
777	12693	3622
778	12706	3604
779	12717	3587
780	12731	3569
781	12744	3552
782	12757	3535
783	12769	3517
784	12780	3500
785	12792	3483
786	12804	3465
787	12816	3448
788	12828	3430
789	12842	3413
790	12855	3396
791	12865	3378
792	12877	3361
793	12890	3344
794	12902	3327
795	12917	3310
796	12930	3293
797	12941	3275
798	12953	3258
799	12967	3241
800	12979	3224
801	12993	3207
802	13006	3190
803	13018	3173
804	13032	3156
805	13044	3139
806	13055	3122
807	13067	3105
808	13078	3087
809	13090	3070
810	13101	3053
811	13113	3036
812	13125	3019
813	13138	3002
814	13149	2984
815	13160	2967
816	13174	2950
817	13185	2933
818	13196	2916
819	13208	2899
820	13220	2882
821	13231	2865
822	13243	2848
823	13255	2831
824	13267	2814
825	13279	2797
826	13292	2780
827	13305	2763
828	13316	2746
829	13328	2730
830	13340	2713
831	13353	2696
832	13364	2679
833	13374	2662
834	13386	2645
835	13398	2628
836	13410	2611
837	13423	2595
838	13435	2578
839	13447	2561
840	13458	2544
841	13469	2527
842	13482	2511
843	13492	2493
844	13504	2477
845	13515	2460
846	13527	2443
847	13538	2426
848	13550	2409
849	13562	2393
850	13575	2376
851	13586	2360
852	13598	2343
853	13610	2326
854	13622	2310
855	13636	2293
856	13648	2277
857	13660	2260
858	13674	2244
859	13685	2227
860	13697	2211
861	13710	2194
862	13721	2178
863	13733	2161
864	13745	2145
865	13757	2128
866	13769	2112
867	13781	2095
868	13793	2079
869	13805	2062
870	13818	2046
871	13832	2030
872	13844	2014
873	13855	1997
874	13865	1980
875	13877	1964
876	13890	1948
877	13904	1932
878	13916	1915
879	13929	1899
880	13942	1883
881	13953	1866
882	13966	1850
883	13978	1834
884	13991	1818
885	14004	1801
886	14016	1785
887	14029	1769
888	14041	1753
889	14055	1737
890	14067	1720
891	14081	1704
892	14096	1689
893	14109	1672
894	14118	1656
895	14132	1640
896	14144	1624
897	14156	1608
898	14170	1591
899	14182	1575
900	14195	1559
901	14207	1543
902	14220	1527
903	14233	1511
904	14244	1495
905	14256	1479
906	14268	1463
907	14280	1446
908	14292	1430
909	14304	1414
910	14316	1398
911	14327	1382
912	14340	1366
913	14354	1350
914	14365	1334
915	14378	1318
916	14393	1302
917	14404	1286
918	14417	1270
919	14429	1254
920	14443	1238
921	14456	1222
922	14470	1207
923	14484	1191
924	14496	1175
925	14509	1159
926	14521	1143
927	14530	1127
928	14545	1111
929	14558	1095
930	14571	1079
931	14584	1064
932	14600	1048
933	14612	1032
934	14626	1016
935	14638	1000
936	14651	985
937	14663	969
938	14676	953
939	14689	937
940	14700	921
941	14711	905
942	14723	889
943	14734	874
944	14746	858
945	14759	842
946	14771	826
947	14784	810
948	14796	795
949	14808	779
950	14820	763
951	14832	747
952	14844	732
953	14855	716
954	14868	700
955	14880	684
956	14890	669
957	14904	653
958	14917	637
959	14928	622
960	14940	606
961	14953	590
962	14966	575
963	14979	559
964	14991	543
965	15004	528
966	15015	512
967	15028	496
968	15042	481
969	15053	465
970	15065	449
971	15077	434
972	15090	418
973	15104	403
974	15117	387
975	15130	372
976	15145	356
977	15158	340
978	15169	325
979	15183	309
980	15196	294
981	15209	278
982	15221	263
983	15236	247
984	15249	232
985	15262	216
986	15274	201
987	15285	185
988	15297	170
989	15308	154
990	15319	139
991	15332	123
992	15343	108
993	15357	92
994	15369	77
995	15378	61
996	15388	46
997	15400	30
998	15410	15
999	15422	0
3	0
