Method,Brier,ROC_AUC,PR_AUC
Isotonic,0.1321695229420782,0.8521258462184738,0.6655096919384836
Platt,0.13217088376011682,0.8524590826103114,0.6705317076168883
Uncalibrated,0.15625612931928495,0.8532548107217295,0.6710447409123936
