Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.7452093683463449,0.512998266897747,0.7914438502673797,0.6225026288117771,0.8462838099666744,0.6626587514843023
CatBoost,0.7608232789212207,0.5336976320582878,0.7834224598930482,0.6348862405200434,0.8455230049859206,0.6623789975423678
FT-Transformer,0.7814052519517388,0.7578125,0.25935828877005346,0.38645418326693226,0.8468960706812368,0.6617292021552234
XGBoost,0.7565649396735273,0.5280289330922242,0.7807486631016043,0.6299892125134844,0.8411674287633367,0.6544970409905992
TabNet,0.7317246273953159,0.4967213114754098,0.8101604278074866,0.6158536585365854,0.8358495440336873,0.6504498290433198
Random Forest,0.7735982966643009,0.569620253164557,0.6016042780748663,0.5851755526657998,0.8361802164871218,0.6420309983322982
LightGBM,0.7636621717530163,0.5407554671968191,0.7272727272727273,0.6202964652223489,0.8344106021855382,0.6338018986180481
