threshold,accuracy,precision,recall,f1,predicted_positive_count
0.05,0.5081618168914124,0.34881516587677724,0.983957219251337,0.5150454863540938,1055
0.06,0.5188076650106459,0.35384615384615387,0.983957219251337,0.5205091937765205,1040
0.07,0.5209368346344926,0.35402521823472355,0.9759358288770054,0.5195729537366548,1031
0.08,0.5514549325762953,0.36890243902439024,0.9705882352941176,0.5346097201767305,984
0.09,0.5684882895670689,0.3776150627615063,0.9652406417112299,0.5428571428571428,956
0.1,0.5855216465578424,0.38660907127429806,0.9572192513368984,0.5507692307692308,926
0.11,0.6181689141234918,0.4053117782909931,0.9385026737967914,0.5661290322580645,866
0.12,0.6330731014904187,0.4149821640903686,0.9331550802139037,0.574485596707819,841
0.13,0.6437189496096523,0.4223300970873786,0.93048128342246,0.5809682804674458,824
0.14,0.6593328601845281,0.43308080808080807,0.9171122994652406,0.5883361921097771,792
0.15,0.6784953867991483,0.4469798657718121,0.8903743315508021,0.5951742627345844,745
0.16,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.17,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.18,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.19,0.7203690560681334,0.4847560975609756,0.8502673796791443,0.6174757281553398,656
0.2,0.7210787792760823,0.48545176110260335,0.8475935828877005,0.617332035053554,653
0.21,0.7210787792760823,0.48545176110260335,0.8475935828877005,0.617332035053554,653
0.22,0.7288857345635202,0.493730407523511,0.8422459893048129,0.6225296442687747,638
0.23,0.7437899219304471,0.5106382978723404,0.8342245989304813,0.6335025380710659,611
0.24,0.7437899219304471,0.5106382978723404,0.8342245989304813,0.6335025380710659,611
0.25,0.7473385379701917,0.5152027027027027,0.8155080213903744,0.6314699792960663,592
0.26,0.7473385379701917,0.5152027027027027,0.8155080213903744,0.6314699792960663,592
0.27,0.7466288147622427,0.5143824027072758,0.8128342245989305,0.6300518134715026,591
0.28,0.7459190915542938,0.5135593220338983,0.8101604278074866,0.6286307053941909,590
0.29,0.7459190915542938,0.5136054421768708,0.8074866310160428,0.6278586278586279,588
0.3,0.7452093683463449,0.5127768313458262,0.8048128342245989,0.6264308012486993,587
0.31,0.7672107877927609,0.5461847389558233,0.7272727272727273,0.6238532110091743,498
0.32,0.772888573456352,0.5560165975103735,0.7165775401069518,0.6261682242990654,482
0.33,0.7750177430801988,0.5602536997885835,0.7085561497326203,0.6257378984651711,473
